31,47,2,20,7,34,3,3,7,0,2,10,10,0,3,2,4,0,0,1,2,0,4,5,0
12,19,0,3,2,10,2,0,5,0,4,5,1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
222,244,13,382,101,89,5,156,40,33,23,107,110,3,20,11,85,0,2,7,13,0,13,93,2
4,1,0,1,0,1,0,0,1,1,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0
8,11,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,31,0,72,39,11,1,241,5,7,5,15,184,1,5,1,20,0,1,4,6,0,8,54,0
2,1,0,1,0,1,1,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,0
1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
43,39,0,49,26,8,1,410,15,0,15,12,1157,18,4,25,191,0,54,1,165,0,300,806,85
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,2,1,2,0,1,0,0,2,0,5,0,100,0,18,0,0,8,0,0,0,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,7,0
8,1,0,31,3,8,2,12,4,0,2,0,15,0,20,3,444,5,1,11,23,0,1,58,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,1,0
2,0,0,7,0,0,0,9,0,0,0,1,2,0,5,0,10,0,0,150,0,0,0,15,0
4,12,1,9,0,0,1,2,3,0,2,0,14,0,4,4,88,0,2,1,646,0,75,51,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,11,0,0,0,0,25,0,0,4,30,0,3,0,16,0,86,61,16
3,5,0,6,4,0,0,28,0,0,0,1,66,0,6,4,49,0,6,3,12,0,9,150,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
