1,7,70,0,15,0,2,1,1,6,13,0,1,4,0,0,0,0,0,0
0,3,28,0,2,0,1,0,0,0,8,0,0,1,0,0,0,1,0,0
5,18,798,9,56,12,9,12,0,17,176,2,1,16,0,0,2,16,2,0
0,0,4,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0
0,2,6,0,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
3,1,147,1,1,37,4,3,0,3,295,0,0,1,0,0,1,2,2,0
0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,1,6,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0
1,4,116,8,9,4,17,1,0,12,1995,3,1,24,0,3,1,60,23,9
1,0,2,0,0,0,0,0,0,0,7,98,1,1,0,0,2,3,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,1,0,0
0,0,7,0,7,0,0,2,0,0,41,6,3,330,1,0,5,31,2,0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,5,2,0
0,0,3,0,0,0,0,0,0,0,7,8,0,1,0,0,121,6,1,0
0,1,3,0,0,0,0,0,0,0,32,2,2,23,0,0,0,563,11,2
0,0,4,0,0,0,0,0,0,0,11,0,0,4,0,0,0,17,138,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
