102,40,71,0,29,12,4,0,0,3,19,0,0,4,0,0,0,0,0,0
112,64,72,11,6,5,0,0,0,0,2,12,0,0,0,0,0,0,0,0
30,14,163,2,5,31,1,2,0,0,22,2,0,6,0,0,2,2,2,0
61,0,118,0,0,24,0,0,0,0,81,0,0,0,0,0,0,0,0,0
108,70,75,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10,47,2,1,158,0,0,0,0,53,1,0,0,0,0,0,1,0,0
151,24,56,23,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0
75,0,172,0,0,20,0,0,0,0,0,0,0,17,0,0,0,0,0,0
6,3,21,0,1,58,1,0,0,1,177,2,0,2,0,0,3,0,9,0
5,1,0,0,0,0,0,0,0,0,5,241,0,2,0,0,25,5,0,0
0,0,0,0,0,0,23,0,0,0,25,0,81,17,0,0,0,86,52,0
0,0,1,0,0,6,0,0,0,0,10,2,0,253,1,0,1,6,4,0
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,193,0,0,50,0
2,0,0,0,6,1,0,0,0,0,9,7,0,5,0,0,240,14,0,0
1,0,1,0,0,2,0,0,0,0,7,3,0,2,0,0,0,265,3,0
0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,263,0
0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,100,0,0
